Filename,Title,Description,Keywords,License,Id
TechOld17.jpg,Man following fitness routine with digital guides,An image illustrating Smart Yoga Mat. Man following fitness routine with digital guides.,"fitness,guide,mat,tech,workout,elderly,health app,exercise",pro,a8dad7fe-c007-4eb1-bc5e-72e75a393ba3
TechOld22.jpg,Woman laughing with cute AI digital companion,An image illustrating AI Companion. Woman laughing with cute AI digital companion.,"ai,companion,robot,emotional,laughing,technology,friendship,comfort",pro,849880a6-566f-4c82-807d-1e7ac6ecf5c1
TechOld15.jpg,Relaxed man with e-ink device in modern room,An image illustrating E-reader Reading. Relaxed man with e-ink device in modern room.,"reading,relaxing,technology,domestic life,smart home,device",pro,fb7b0a73-3471-489c-aa02-a87b67762eae
TerceraEdadDigitalv5out.jpg,,,"",pro,327138d2-2ff6-4b48-ba55-04c72c8863d8
TerceraEdadDigitalv6out.jpg,,,"",pro,f7bbb0ba-62b3-4d3b-a309-b3af03cfff5f
TerceraEdadDigitalv7out.jpg,,,"",pro,cc9080c9-a967-4085-9ad1-6f08fe9d8196
TerceraEdadDigitalv13out.jpg,,,"",pro,44324d37-6bc1-4734-b751-52f4e0c3622b
TerceraEdadDigitalv10out.jpg,,,"",pro,0c8ea6a7-2e3a-4bce-9e70-08bfe3fa3c57
TerceraEdadDigitalv9out.jpg,,,"",pro,661f6292-b196-495f-8566-b253a18e5141
TerceraEdadDigitalv8out.jpg,,,"",pro,778ea80a-83e5-4a10-80ec-e3760e683df3
TerceraEdadDigitalv12out.jpg,,,"",pro,fb098887-a2b1-4299-a0c2-368f4f4cd8c4
TerceraEdadDigitalv1out.jpg,,,"",pro,8d7c7c37-8103-402b-a3dc-d7620f48e8fa
TerceraEdadDigitalv3out.jpg,,,"",pro,26de7142-9923-4dcd-bebc-0ad1087379e9
TerceraEdadDigitalv2out.jpg,,,"",pro,7bfb6444-2c12-40a3-9946-5f08b35b3598
TerceraEdadDigitalv11out.jpg,,,"",pro,47604f6d-e104-47f4-8074-72b79cadaf87
TerceraEdadDigitalv4out.jpg,,,"",pro,c68b825c-ee34-43e3-b914-d21ce9fbdf25
